workerId,chart,data_size,true_percentage,error,responseTime
c21e63332f12632e540380d3db7b2c3291d21058,PB,75,83,2,8000
c21e63332f12632e540380d3db7b2c3291d21058,PB,300,38,2,5210
c21e63332f12632e540380d3db7b2c3291d21058,PB,75,53,3,6410
c21e63332f12632e540380d3db7b2c3291d21058,PB,75,92,2,4248
c21e63332f12632e540380d3db7b2c3291d21058,PB,300,23,2,6572
c21e63332f12632e540380d3db7b2c3291d21058,PB,300,92,2,4598
c21e63332f12632e540380d3db7b2c3291d21058,PB,300,53,2,6750
c21e63332f12632e540380d3db7b2c3291d21058,PB,300,62,3,5740
c21e63332f12632e540380d3db7b2c3291d21058,PB,75,23,3,5797
c21e63332f12632e540380d3db7b2c3291d21058,PB,150,38,2,7245
c21e63332f12632e540380d3db7b2c3291d21058,PB,150,17,2,6687
c21e63332f12632e540380d3db7b2c3291d21058,PB,150,92,2,4833
c21e63332f12632e540380d3db7b2c3291d21058,PB,150,77,3,10566
c21e63332f12632e540380d3db7b2c3291d21058,PB,300,8,2,4961
c21e63332f12632e540380d3db7b2c3291d21058,PB,150,83,3,4163
c21e63332f12632e540380d3db7b2c3291d21058,PB,300,83,3,9615
ff3b180918809804a5cee8d5fa4b595a227430b3,PB,75,77,8,16746
ff3b180918809804a5cee8d5fa4b595a227430b3,PB,300,53,2,11495
ff3b180918809804a5cee8d5fa4b595a227430b3,PB,75,23,2,12861
ff3b180918809804a5cee8d5fa4b595a227430b3,PB,300,38,2,20503
ff3b180918809804a5cee8d5fa4b595a227430b3,PB,150,83,3,20885
ff3b180918809804a5cee8d5fa4b595a227430b3,PB,300,23,2,16435
ff3b180918809804a5cee8d5fa4b595a227430b3,PB,150,38,2,13212
ff3b180918809804a5cee8d5fa4b595a227430b3,PB,75,92,2,7990
ff3b180918809804a5cee8d5fa4b595a227430b3,PB,150,23,2,10763
ff3b180918809804a5cee8d5fa4b595a227430b3,PB,300,62,3,8219
ff3b180918809804a5cee8d5fa4b595a227430b3,PB,75,83,13,12100
ff3b180918809804a5cee8d5fa4b595a227430b3,PB,75,62,3,8888
ff3b180918809804a5cee8d5fa4b595a227430b3,PB,300,17,3,9374
ff3b180918809804a5cee8d5fa4b595a227430b3,PB,150,92,2,8066
ff3b180918809804a5cee8d5fa4b595a227430b3,PB,75,17,2,12562
ff3b180918809804a5cee8d5fa4b595a227430b3,PB,150,53,3,6143
ff3b180918809804a5cee8d5fa4b595a227430b3,PB,300,77,7,9680
ff3b180918809804a5cee8d5fa4b595a227430b3,PB,300,47,2,9363
ff3b180918809804a5cee8d5fa4b595a227430b3,PB,75,53,3,5939
ff3b180918809804a5cee8d5fa4b595a227430b3,PB,150,62,3,11953
ff3b180918809804a5cee8d5fa4b595a227430b3,PB,150,17,2,13753
ff3b180918809804a5cee8d5fa4b595a227430b3,PB,150,8,2,11292
ff3b180918809804a5cee8d5fa4b595a227430b3,PB,300,83,3,11698
ff3b180918809804a5cee8d5fa4b595a227430b3,PB,150,47,2,11928
ff3b180918809804a5cee8d5fa4b595a227430b3,PB,300,8,2,9339
ff3b180918809804a5cee8d5fa4b595a227430b3,PB,75,38,2,14586
ff3b180918809804a5cee8d5fa4b595a227430b3,PB,150,77,2,11869
ff3b180918809804a5cee8d5fa4b595a227430b3,PB,300,92,2,10778
ff3b180918809804a5cee8d5fa4b595a227430b3,PB,75,8,2,12041
ff3b180918809804a5cee8d5fa4b595a227430b3,PB,75,47,2,10850
6ae52e41d123a0fdbc4a2528eaac51b1e3c711d2,TM,75,62,7,2291
6ae52e41d123a0fdbc4a2528eaac51b1e3c711d2,TM,300,47,2,2065
6ae52e41d123a0fdbc4a2528eaac51b1e3c711d2,TM,150,83,18,1907
6ae52e41d123a0fdbc4a2528eaac51b1e3c711d2,TM,75,53,13,1847
6ae52e41d123a0fdbc4a2528eaac51b1e3c711d2,TM,150,92,3,3587
6ae52e41d123a0fdbc4a2528eaac51b1e3c711d2,TM,150,8,72,2986
6ae52e41d123a0fdbc4a2528eaac51b1e3c711d2,TM,150,53,22,2191
6ae52e41d123a0fdbc4a2528eaac51b1e3c711d2,TM,75,38,12,35502
6ae52e41d123a0fdbc4a2528eaac51b1e3c711d2,TM,300,83,23,2772
6ae52e41d123a0fdbc4a2528eaac51b1e3c711d2,TM,150,77,18,3349
6ae52e41d123a0fdbc4a2528eaac51b1e3c711d2,TM,300,62,7,3910
6ae52e41d123a0fdbc4a2528eaac51b1e3c711d2,TM,300,23,62,2172
6ae52e41d123a0fdbc4a2528eaac51b1e3c711d2,TM,300,53,13,3193
6ae52e41d123a0fdbc4a2528eaac51b1e3c711d2,TM,75,17,53,1821
6ae52e41d123a0fdbc4a2528eaac51b1e3c711d2,TM,300,17,28,2112
6ae52e41d123a0fdbc4a2528eaac51b1e3c711d2,TM,300,38,12,4923
6ae52e41d123a0fdbc4a2528eaac51b1e3c711d2,TM,75,83,13,2286
6ae52e41d123a0fdbc4a2528eaac51b1e3c711d2,TM,75,47,28,2529
6ae52e41d123a0fdbc4a2528eaac51b1e3c711d2,TM,150,23,62,3044
6ae52e41d123a0fdbc4a2528eaac51b1e3c711d2,TM,150,47,33,1996
6ae52e41d123a0fdbc4a2528eaac51b1e3c711d2,TM,150,38,27,2188
6ae52e41d123a0fdbc4a2528eaac51b1e3c711d2,TM,300,77,18,2937
6ae52e41d123a0fdbc4a2528eaac51b1e3c711d2,TM,300,92,3,1828
6ae52e41d123a0fdbc4a2528eaac51b1e3c711d2,TM,75,8,2,3057
6ae52e41d123a0fdbc4a2528eaac51b1e3c711d2,TM,75,92,12,2351
6ae52e41d123a0fdbc4a2528eaac51b1e3c711d2,TM,75,77,7,2076
6ae52e41d123a0fdbc4a2528eaac51b1e3c711d2,TM,75,23,42,2525
6ae52e41d123a0fdbc4a2528eaac51b1e3c711d2,TM,150,17,48,2146
6ae52e41d123a0fdbc4a2528eaac51b1e3c711d2,TM,150,62,13,1876
6ae52e41d123a0fdbc4a2528eaac51b1e3c711d2,TM,300,8,77,2782
94154c4362f51694e090e841b6c29fce7e04607e,PB,300,23,8,15950
94154c4362f51694e090e841b6c29fce7e04607e,PB,150,62,8,11325
94154c4362f51694e090e841b6c29fce7e04607e,PB,300,38,2,4832
94154c4362f51694e090e841b6c29fce7e04607e,PB,75,83,2,7153
94154c4362f51694e090e841b6c29fce7e04607e,PB,150,92,3,9917
94154c4362f51694e090e841b6c29fce7e04607e,PB,75,53,3,3506
94154c4362f51694e090e841b6c29fce7e04607e,PB,300,47,2,5850
94154c4362f51694e090e841b6c29fce7e04607e,PB,75,92,3,3390
94154c4362f51694e090e841b6c29fce7e04607e,PB,300,8,3,4992
94154c4362f51694e090e841b6c29fce7e04607e,PB,75,47,2,5740
94154c4362f51694e090e841b6c29fce7e04607e,PB,300,77,3,7631
94154c4362f51694e090e841b6c29fce7e04607e,PB,75,17,2,4310
94154c4362f51694e090e841b6c29fce7e04607e,PB,300,62,2,12313
94154c4362f51694e090e841b6c29fce7e04607e,PB,75,62,3,6088
94154c4362f51694e090e841b6c29fce7e04607e,PB,75,8,3,7248
94154c4362f51694e090e841b6c29fce7e04607e,PB,300,83,2,7533
94154c4362f51694e090e841b6c29fce7e04607e,PB,150,47,7,4032
94154c4362f51694e090e841b6c29fce7e04607e,PB,75,77,8,3961
94154c4362f51694e090e841b6c29fce7e04607e,PB,150,83,2,12359
94154c4362f51694e090e841b6c29fce7e04607e,PB,300,17,7,7137
94154c4362f51694e090e841b6c29fce7e04607e,PB,75,38,8,7008
94154c4362f51694e090e841b6c29fce7e04607e,PB,300,53,3,3716
94154c4362f51694e090e841b6c29fce7e04607e,PB,75,23,8,8175
94154c4362f51694e090e841b6c29fce7e04607e,PB,150,77,3,5471
94154c4362f51694e090e841b6c29fce7e04607e,PB,150,38,3,4366
