workerId,chart,data_size,outcome,outcome_true,responseTime
cd16368f79d9049b15ff489cd44772812864229b,PB,150,False,0,5635
cd16368f79d9049b15ff489cd44772812864229b,PB,150,True,1,4221
cd16368f79d9049b15ff489cd44772812864229b,PB,75,True,1,8428
cd16368f79d9049b15ff489cd44772812864229b,PB,75,False,0,3056
cd16368f79d9049b15ff489cd44772812864229b,PB,75,True,1,3026
cd16368f79d9049b15ff489cd44772812864229b,PB,75,False,0,1839
cd16368f79d9049b15ff489cd44772812864229b,PB,150,False,0,2768
cd16368f79d9049b15ff489cd44772812864229b,PB,300,True,1,2726
cd16368f79d9049b15ff489cd44772812864229b,PB,300,True,1,4423
cd16368f79d9049b15ff489cd44772812864229b,PB,75,True,1,2180
cd16368f79d9049b15ff489cd44772812864229b,PB,300,True,1,2745
cd16368f79d9049b15ff489cd44772812864229b,PB,300,True,1,10708
cd16368f79d9049b15ff489cd44772812864229b,PB,150,False,0,4091
cd16368f79d9049b15ff489cd44772812864229b,PB,150,True,1,2445
cd16368f79d9049b15ff489cd44772812864229b,PB,75,True,1,3275
cd16368f79d9049b15ff489cd44772812864229b,PB,300,False,0,3139
cd16368f79d9049b15ff489cd44772812864229b,PB,150,True,1,2950
cd16368f79d9049b15ff489cd44772812864229b,PB,150,True,1,2686
cd16368f79d9049b15ff489cd44772812864229b,PB,300,True,1,5209
cd16368f79d9049b15ff489cd44772812864229b,PB,150,True,1,3208
cd16368f79d9049b15ff489cd44772812864229b,PB,300,True,1,3185
cd16368f79d9049b15ff489cd44772812864229b,PB,75,True,1,2500
cd16368f79d9049b15ff489cd44772812864229b,PB,75,True,1,2324
cd16368f79d9049b15ff489cd44772812864229b,PB,75,True,1,2548
cd16368f79d9049b15ff489cd44772812864229b,PB,150,False,0,2067
cd16368f79d9049b15ff489cd44772812864229b,PB,300,True,1,2379
cd16368f79d9049b15ff489cd44772812864229b,PB,300,False,0,3127
d1f9ce592d0904020b1a95982d5c154f43cb6a33,WB,75,False,0,5978
d1f9ce592d0904020b1a95982d5c154f43cb6a33,WB,150,True,1,3923
d1f9ce592d0904020b1a95982d5c154f43cb6a33,WB,75,False,0,2020
d1f9ce592d0904020b1a95982d5c154f43cb6a33,WB,75,False,0,2370
d1f9ce592d0904020b1a95982d5c154f43cb6a33,WB,150,False,0,5309
d1f9ce592d0904020b1a95982d5c154f43cb6a33,WB,150,True,1,3169
d1f9ce592d0904020b1a95982d5c154f43cb6a33,WB,150,True,1,2672
d1f9ce592d0904020b1a95982d5c154f43cb6a33,WB,75,True,1,2226
d1f9ce592d0904020b1a95982d5c154f43cb6a33,WB,150,True,1,3069
d1f9ce592d0904020b1a95982d5c154f43cb6a33,WB,150,True,1,3762
d1f9ce592d0904020b1a95982d5c154f43cb6a33,WB,300,False,0,5100
d1f9ce592d0904020b1a95982d5c154f43cb6a33,WB,300,True,1,3290
d1f9ce592d0904020b1a95982d5c154f43cb6a33,WB,300,True,1,3353
d1f9ce592d0904020b1a95982d5c154f43cb6a33,WB,75,True,1,3571
d1f9ce592d0904020b1a95982d5c154f43cb6a33,WB,300,True,1,3548
d1f9ce592d0904020b1a95982d5c154f43cb6a33,WB,75,True,1,2783
d1f9ce592d0904020b1a95982d5c154f43cb6a33,WB,150,True,1,3484
d1f9ce592d0904020b1a95982d5c154f43cb6a33,WB,300,True,1,2544
d1f9ce592d0904020b1a95982d5c154f43cb6a33,WB,75,True,1,3365
d1f9ce592d0904020b1a95982d5c154f43cb6a33,WB,300,False,0,2306
d1f9ce592d0904020b1a95982d5c154f43cb6a33,WB,150,False,0,3267
d1f9ce592d0904020b1a95982d5c154f43cb6a33,WB,75,False,0,2863
d1f9ce592d0904020b1a95982d5c154f43cb6a33,WB,300,False,0,4401
d1f9ce592d0904020b1a95982d5c154f43cb6a33,WB,150,True,1,2145
d1f9ce592d0904020b1a95982d5c154f43cb6a33,WB,75,False,0,3450
d1f9ce592d0904020b1a95982d5c154f43cb6a33,WB,300,False,0,4988
d1f9ce592d0904020b1a95982d5c154f43cb6a33,WB,300,True,1,2956
3009d508be495e18592987156c95a044e81faafc,PB,300,False,0,7651
3009d508be495e18592987156c95a044e81faafc,PB,75,True,1,2898
3009d508be495e18592987156c95a044e81faafc,PB,300,True,1,3959
3009d508be495e18592987156c95a044e81faafc,PB,75,False,0,4365
3009d508be495e18592987156c95a044e81faafc,PB,75,False,0,9016
3009d508be495e18592987156c95a044e81faafc,PB,300,False,0,6654
3009d508be495e18592987156c95a044e81faafc,PB,75,True,1,3033
3009d508be495e18592987156c95a044e81faafc,PB,75,False,0,3097
3009d508be495e18592987156c95a044e81faafc,PB,150,True,1,12083
3009d508be495e18592987156c95a044e81faafc,PB,150,False,0,3355
3009d508be495e18592987156c95a044e81faafc,PB,150,False,0,3711
3009d508be495e18592987156c95a044e81faafc,PB,150,True,1,3575
3009d508be495e18592987156c95a044e81faafc,PB,300,True,1,2214
3009d508be495e18592987156c95a044e81faafc,PB,75,True,1,4053
3009d508be495e18592987156c95a044e81faafc,PB,150,False,0,3051
3009d508be495e18592987156c95a044e81faafc,PB,300,True,1,7001
3009d508be495e18592987156c95a044e81faafc,PB,75,False,0,3167
3009d508be495e18592987156c95a044e81faafc,PB,150,True,1,2988
3009d508be495e18592987156c95a044e81faafc,PB,300,False,0,4727
3009d508be495e18592987156c95a044e81faafc,PB,150,True,1,2725
3009d508be495e18592987156c95a044e81faafc,PB,150,False,0,3186
3009d508be495e18592987156c95a044e81faafc,PB,300,False,0,2788
3009d508be495e18592987156c95a044e81faafc,PB,300,True,1,3074
3009d508be495e18592987156c95a044e81faafc,PB,150,True,1,2813
3009d508be495e18592987156c95a044e81faafc,PB,300,False,0,2961
3009d508be495e18592987156c95a044e81faafc,PB,75,False,0,4104
3009d508be495e18592987156c95a044e81faafc,PB,75,True,1,3459
711d0c32f77dd7ab2a050fe8a07a732313d1e03f,WB,75,False,0,6070
711d0c32f77dd7ab2a050fe8a07a732313d1e03f,WB,150,True,1,2981
711d0c32f77dd7ab2a050fe8a07a732313d1e03f,WB,300,False,0,4291
711d0c32f77dd7ab2a050fe8a07a732313d1e03f,WB,75,True,1,2734
711d0c32f77dd7ab2a050fe8a07a732313d1e03f,WB,300,False,0,3170
711d0c32f77dd7ab2a050fe8a07a732313d1e03f,WB,150,True,1,3861
711d0c32f77dd7ab2a050fe8a07a732313d1e03f,WB,75,True,1,2640
711d0c32f77dd7ab2a050fe8a07a732313d1e03f,WB,150,False,0,3133
711d0c32f77dd7ab2a050fe8a07a732313d1e03f,WB,300,True,1,4127
711d0c32f77dd7ab2a050fe8a07a732313d1e03f,WB,75,True,1,5464
711d0c32f77dd7ab2a050fe8a07a732313d1e03f,WB,300,True,1,2699
711d0c32f77dd7ab2a050fe8a07a732313d1e03f,WB,75,True,1,4978
711d0c32f77dd7ab2a050fe8a07a732313d1e03f,WB,300,True,1,2604
711d0c32f77dd7ab2a050fe8a07a732313d1e03f,WB,150,True,1,1723
711d0c32f77dd7ab2a050fe8a07a732313d1e03f,WB,300,True,1,2190
711d0c32f77dd7ab2a050fe8a07a732313d1e03f,WB,300,True,1,2611
711d0c32f77dd7ab2a050fe8a07a732313d1e03f,WB,150,False,0,1577
711d0c32f77dd7ab2a050fe8a07a732313d1e03f,WB,150,True,1,2066
711d0c32f77dd7ab2a050fe8a07a732313d1e03f,WB,300,False,0,3260
711d0c32f77dd7ab2a050fe8a07a732313d1e03f,WB,150,True,1,3528
711d0c32f77dd7ab2a050fe8a07a732313d1e03f,WB,75,False,0,2711
711d0c32f77dd7ab2a050fe8a07a732313d1e03f,WB,300,True,1,2120
711d0c32f77dd7ab2a050fe8a07a732313d1e03f,WB,75,True,1,2110
711d0c32f77dd7ab2a050fe8a07a732313d1e03f,WB,75,True,1,1802
711d0c32f77dd7ab2a050fe8a07a732313d1e03f,WB,150,True,1,2144
711d0c32f77dd7ab2a050fe8a07a732313d1e03f,WB,75,True,1,1814
711d0c32f77dd7ab2a050fe8a07a732313d1e03f,WB,150,True,1,2631
c591f994c50e53df26dad574d7372b907fa86734,WB,150,False,0,21670
c591f994c50e53df26dad574d7372b907fa86734,WB,300,False,0,8611
c591f994c50e53df26dad574d7372b907fa86734,WB,150,True,1,6422
c591f994c50e53df26dad574d7372b907fa86734,WB,300,False,0,4250
c591f994c50e53df26dad574d7372b907fa86734,WB,300,False,0,7059
