workerId,chart,data_size,true_rank,error,responseTime
a0a7184365935f86f311957eccd9edf81defdf4e,TM,300,200,5,6736
a0a7184365935f86f311957eccd9edf81defdf4e,TM,300,180,16.666666666666668,1858
a0a7184365935f86f311957eccd9edf81defdf4e,TM,75,60,10.666666666666666,10485
a0a7184365935f86f311957eccd9edf81defdf4e,TM,150,90,16.666666666666668,2892
a0a7184365935f86f311957eccd9edf81defdf4e,TM,150,130,4.666666666666667,4298
a0a7184365935f86f311957eccd9edf81defdf4e,TM,75,10,4,3248
a0a7184365935f86f311957eccd9edf81defdf4e,TM,75,55,26.666666666666668,6589
a0a7184365935f86f311957eccd9edf81defdf4e,TM,300,280,1.6666666666666667,4166
a0a7184365935f86f311957eccd9edf81defdf4e,TM,300,40,5.333333333333333,5295
a0a7184365935f86f311957eccd9edf81defdf4e,TM,75,10,5.333333333333333,1587
a0a7184365935f86f311957eccd9edf81defdf4e,TM,150,30,3.3333333333333335,3228
a0a7184365935f86f311957eccd9edf81defdf4e,TM,300,100,4.666666666666667,6255
a0a7184365935f86f311957eccd9edf81defdf4e,TM,75,15,2.6666666666666665,3598
a0a7184365935f86f311957eccd9edf81defdf4e,TM,75,45,1.3333333333333333,4084
a0a7184365935f86f311957eccd9edf81defdf4e,TM,150,60,12.666666666666666,4267
a0a7184365935f86f311957eccd9edf81defdf4e,TM,300,120,7,1653
a0a7184365935f86f311957eccd9edf81defdf4e,TM,75,15,32,2863
a0a7184365935f86f311957eccd9edf81defdf4e,TM,300,120,17,2961
a0a7184365935f86f311957eccd9edf81defdf4e,TM,75,65,10.666666666666666,5121
a0a7184365935f86f311957eccd9edf81defdf4e,TM,75,15,17.333333333333332,2252
a0a7184365935f86f311957eccd9edf81defdf4e,TM,300,80,9.666666666666666,3671
a0a7184365935f86f311957eccd9edf81defdf4e,TM,150,20,5.333333333333333,2945
a0a7184365935f86f311957eccd9edf81defdf4e,TM,150,50,10.666666666666666,2639
a0a7184365935f86f311957eccd9edf81defdf4e,TM,150,110,35.333333333333336,3184
a0a7184365935f86f311957eccd9edf81defdf4e,TM,300,220,9.333333333333334,3573
a0a7184365935f86f311957eccd9edf81defdf4e,TM,150,50,13.333333333333334,2042
a0a7184365935f86f311957eccd9edf81defdf4e,TM,75,55,8,4585
a0a7184365935f86f311957eccd9edf81defdf4e,TM,150,110,12,6670
a0a7184365935f86f311957eccd9edf81defdf4e,TM,150,100,16,1602
a0a7184365935f86f311957eccd9edf81defdf4e,TM,300,160,0.6666666666666666,1651
838a37ad923caa6280ba5c518fc26af7e9d4530e,TM,150,130,4,5826
838a37ad923caa6280ba5c518fc26af7e9d4530e,TM,75,65,4,4029
838a37ad923caa6280ba5c518fc26af7e9d4530e,TM,150,20,5.333333333333333,2634
838a37ad923caa6280ba5c518fc26af7e9d4530e,TM,150,40,4,2418
838a37ad923caa6280ba5c518fc26af7e9d4530e,TM,75,60,1.3333333333333333,3181
838a37ad923caa6280ba5c518fc26af7e9d4530e,TM,300,180,1.6666666666666667,5513
838a37ad923caa6280ba5c518fc26af7e9d4530e,TM,300,40,3.6666666666666665,4855
838a37ad923caa6280ba5c518fc26af7e9d4530e,TM,150,60,12.666666666666666,6408
838a37ad923caa6280ba5c518fc26af7e9d4530e,TM,150,80,8,3558
838a37ad923caa6280ba5c518fc26af7e9d4530e,TM,300,280,1.6666666666666667,4527
838a37ad923caa6280ba5c518fc26af7e9d4530e,TM,300,260,4,6034
838a37ad923caa6280ba5c518fc26af7e9d4530e,TM,300,80,11.333333333333334,9446
838a37ad923caa6280ba5c518fc26af7e9d4530e,TM,75,40,6.666666666666667,5149
838a37ad923caa6280ba5c518fc26af7e9d4530e,TM,75,55,2.6666666666666665,3108
838a37ad923caa6280ba5c518fc26af7e9d4530e,TM,150,30,3.3333333333333335,6447
838a37ad923caa6280ba5c518fc26af7e9d4530e,TM,150,80,6.666666666666667,6003
838a37ad923caa6280ba5c518fc26af7e9d4530e,TM,75,30,2.6666666666666665,8664
838a37ad923caa6280ba5c518fc26af7e9d4530e,TM,300,140,6,4468
838a37ad923caa6280ba5c518fc26af7e9d4530e,TM,75,35,5.333333333333333,9024
838a37ad923caa6280ba5c518fc26af7e9d4530e,TM,75,15,2.6666666666666665,9152
838a37ad923caa6280ba5c518fc26af7e9d4530e,TM,300,260,10,3527
838a37ad923caa6280ba5c518fc26af7e9d4530e,TM,75,5,1.3333333333333333,2750
838a37ad923caa6280ba5c518fc26af7e9d4530e,TM,150,140,2,2798
838a37ad923caa6280ba5c518fc26af7e9d4530e,TM,75,15,2.6666666666666665,6351
838a37ad923caa6280ba5c518fc26af7e9d4530e,TM,300,160,6.333333333333333,3652
838a37ad923caa6280ba5c518fc26af7e9d4530e,TM,75,55,12,4387
838a37ad923caa6280ba5c518fc26af7e9d4530e,TM,300,120,17,5467
838a37ad923caa6280ba5c518fc26af7e9d4530e,TM,300,120,32,3660
838a37ad923caa6280ba5c518fc26af7e9d4530e,TM,150,110,3.3333333333333335,4893
838a37ad923caa6280ba5c518fc26af7e9d4530e,TM,150,100,28.666666666666668,4815
f23ceb7a2804a90d388c8f2db4b6114c54faf578,WB,75,65,5.333333333333333,7086
f23ceb7a2804a90d388c8f2db4b6114c54faf578,WB,150,70,0,12678
f23ceb7a2804a90d388c8f2db4b6114c54faf578,WB,300,180,13,6710
f23ceb7a2804a90d388c8f2db4b6114c54faf578,WB,75,5,1.3333333333333333,3391
f23ceb7a2804a90d388c8f2db4b6114c54faf578,WB,75,15,2.6666666666666665,4513
f23ceb7a2804a90d388c8f2db4b6114c54faf578,WB,300,200,5,5822
f23ceb7a2804a90d388c8f2db4b6114c54faf578,WB,150,20,5.333333333333333,4043
f23ceb7a2804a90d388c8f2db4b6114c54faf578,WB,300,100,10.333333333333334,6398
f23ceb7a2804a90d388c8f2db4b6114c54faf578,WB,300,220,3.3333333333333335,5830
f23ceb7a2804a90d388c8f2db4b6114c54faf578,WB,150,80,0.6666666666666666,4178
f23ceb7a2804a90d388c8f2db4b6114c54faf578,WB,300,260,4,5876
