distance,task,workerId,isCorrect,chart,time,dataSize
0.09,MEAN,A2HHGI5CNSS5PD,1,WB,6.044,75
0.03,MEAN,A2HHGI5CNSS5PD,1,WB,7.367,75
0.04,MEAN,A2HHGI5CNSS5PD,1,WB,7.557,75
0.08,MEAN,A2HHGI5CNSS5PD,1,WB,9.518,75
0.06,MEAN,A2HHGI5CNSS5PD,1,WB,10.801,75
0.07,MEAN,A2HHGI5CNSS5PD,1,WB,7.29,75
0.18,MEAN,A2HHGI5CNSS5PD,0,WB,10.708,75
0.04,MEAN,A2HHGI5CNSS5PD,1,WB,11.501,75
0.05,MEAN,A2HHGI5CNSS5PD,1,WB,7.021,75
0.09,MEAN,A2HHGI5CNSS5PD,1,WB,7.186,75
0.01,MEAN,A2HHGI5CNSS5PD,1,WB,7.305,75
0.05,MEAN,A2HHGI5CNSS5PD,1,WB,7.03,75
0.02,MEAN,A2HHGI5CNSS5PD,1,WB,7.323,75
0.03,MEAN,A2HHGI5CNSS5PD,1,WB,7.299,75
0.02,MEAN,A2HHGI5CNSS5PD,1,WB,5.81,75
0.06,MEAN,A2HHGI5CNSS5PD,1,WB,6.859,75
0.04,MEAN,A2HHGI5CNSS5PD,1,WB,6.536,75
0.05,MEAN,A2HHGI5CNSS5PD,1,WB,7.195,75
0.02,MEAN,A2HHGI5CNSS5PD,1,WB,7.306,75
0.12,MEAN,A2HHGI5CNSS5PD,0,WB,5.902,75
0.03,MEAN,A2HHGI5CNSS5PD,1,WB,5.501,75
0.01,MEAN,A2HHGI5CNSS5PD,1,WB,6.566,75
0.14,MEAN,A2HHGI5CNSS5PD,0,WB,7.415,75
0.05,MEAN,A2HHGI5CNSS5PD,1,WB,7.871,75
0.01,MEAN,A2HHGI5CNSS5PD,1,WB,8.298,75
0.11,MEAN,A2HHGI5CNSS5PD,0,WB,8.323,75
0.08,MEAN,A2HHGI5CNSS5PD,1,WB,11.093,75
0.11,MEAN,A2HHGI5CNSS5PD,0,WB,7.375,75
0.06,MEAN,A2HHGI5CNSS5PD,1,WB,8.625,75
0.25,MEAN,AEOFJWOEXF94U,0,KB,6.069,75
0.25,MEAN,AEOFJWOEXF94U,0,KB,6.596,75
0.1,MEAN,AEOFJWOEXF94U,0,KB,5.869,75
0.35,MEAN,AEOFJWOEXF94U,0,KB,6.601,75
0.13,MEAN,AEOFJWOEXF94U,0,KB,4.096,75
0.18,MEAN,AEOFJWOEXF94U,0,KB,2.84,75
0.06,MEAN,AEOFJWOEXF94U,1,KB,2.573,75
0.08,MEAN,AEOFJWOEXF94U,1,KB,5.317,75
0.25,MEAN,AEOFJWOEXF94U,0,KB,2.178,75
0.15,MEAN,AEOFJWOEXF94U,0,KB,3.156,75
0.43,MEAN,AEOFJWOEXF94U,0,KB,2.612,75
0.45,MEAN,AEOFJWOEXF94U,0,KB,2.8,75
0.21,MEAN,AEOFJWOEXF94U,0,KB,2.125,75
0.23,MEAN,AEOFJWOEXF94U,0,KB,1.168,75
0.07,MEAN,AEOFJWOEXF94U,1,KB,1.605,75
0.33,MEAN,AEOFJWOEXF94U,0,KB,1.215,75
0.43,MEAN,AEOFJWOEXF94U,0,KB,1.661,75
0.17,MEAN,AEOFJWOEXF94U,0,KB,1.765,75
0.14,MEAN,AEOFJWOEXF94U,0,KB,3.153,75
0.09,MEAN,AEOFJWOEXF94U,1,KB,1.339,75
0.14,MEAN,AEOFJWOEXF94U,0,KB,1.844,75
0.2,MEAN,AEOFJWOEXF94U,0,KB,2.564,75
0.11,MEAN,AEOFJWOEXF94U,0,KB,11.838,75
0.03,MEAN,AEOFJWOEXF94U,1,KB,1.985,75
0.11,MEAN,AEOFJWOEXF94U,0,KB,2.316,75
0.22,MEAN,AEOFJWOEXF94U,0,KB,3.858,75
0.31,MEAN,AEOFJWOEXF94U,0,KB,2.753,75
0.15,MEAN,AEOFJWOEXF94U,0,KB,4.713,75
0.27,MEAN,AEOFJWOEXF94U,0,KB,2.392,75
0.38,MEAN,AEOFJWOEXF94U,0,KB,2.274,75
0.01,MEAN,A1BZNPQ0H7ZSER,1,ZP,6.653,75
0.17,MEAN,A1BZNPQ0H7ZSER,0,ZP,3.782,75
0.23,MEAN,A1BZNPQ0H7ZSER,0,ZP,5.952,75
0.16,MEAN,A1BZNPQ0H7ZSER,0,ZP,4.524,75
0.2,MEAN,A1BZNPQ0H7ZSER,0,ZP,2.077,75
0.18,MEAN,A1BZNPQ0H7ZSER,0,ZP,1.954,75
0.14,MEAN,A1BZNPQ0H7ZSER,0,ZP,2.176,75
0.13,MEAN,A1BZNPQ0H7ZSER,0,ZP,2.738,75
0.04,MEAN,A1BZNPQ0H7ZSER,1,ZP,2.273,75
0.08,MEAN,A1BZNPQ0H7ZSER,1,ZP,3.389,75
0.04,MEAN,A1BZNPQ0H7ZSER,1,ZP,3.569,75
0.01,MEAN,A1BZNPQ0H7ZSER,1,ZP,2.492,75
0.11,MEAN,A1BZNPQ0H7ZSER,0,ZP,2.475,75
0.11,MEAN,A1BZNPQ0H7ZSER,0,ZP,2.995,75
0.07,MEAN,A1BZNPQ0H7ZSER,1,ZP,1.767,75
0.14,MEAN,A1BZNPQ0H7ZSER,0,ZP,1.914,75
0.09,MEAN,A1BZNPQ0H7ZSER,1,ZP,1.983,75
0.22,MEAN,A1BZNPQ0H7ZSER,0,ZP,2.006,75
0.04,MEAN,A1BZNPQ0H7ZSER,1,ZP,2.489,75
0.04,MEAN,A1BZNPQ0H7ZSER,1,ZP,2.564,75
0.07,MEAN,A1BZNPQ0H7ZSER,1,ZP,2.196,75
0.17,MEAN,A1BZNPQ0H7ZSER,0,ZP,1.956,75
0.27,MEAN,A1BZNPQ0H7ZSER,0,ZP,1.929,75
0.17,MEAN,A1BZNPQ0H7ZSER,0,ZP,2.029,75
0.1,MEAN,A1BZNPQ0H7ZSER,0,ZP,2.566,75
0.25,MEAN,A1BZNPQ0H7ZSER,0,ZP,2.573,75
0.18,MEAN,A1BZNPQ0H7ZSER,0,ZP,1.776,75
0.12,MEAN,A1BZNPQ0H7ZSER,0,ZP,2.113,75
0.04,MEAN,A1BZNPQ0H7ZSER,1,ZP,1.759,75
0.08,MEAN,A1BZNPQ0H7ZSER,1,ZP,2.198,75
0.26,MEAN,A2SJC9VRBGNC58,0,TM,25.818,300
0.17,MEAN,A2SJC9VRBGNC58,0,TM,12.842,300
0.04,MEAN,A2SJC9VRBGNC58,1,TM,2.592,300
0.23,MEAN,A2SJC9VRBGNC58,0,TM,2.381,300
0.04,MEAN,A2SJC9VRBGNC58,1,TM,2.594,150
0.12,MEAN,A2SJC9VRBGNC58,0,TM,2.535,300
0.29,MEAN,A2SJC9VRBGNC58,0,TM,2.179,150
0.08,MEAN,A2SJC9VRBGNC58,1,TM,2.293,300
0.29,MEAN,A2SJC9VRBGNC58,0,TM,2.331,300
0.25,MEAN,A2SJC9VRBGNC58,0,TM,5.571,150
0.17,MEAN,A2SJC9VRBGNC58,0,TM,2.652,150
0.38,MEAN,A2SJC9VRBGNC58,0,TM,2.465,150
0.16,MEAN,A2SJC9VRBGNC58,0,TM,2.977,300
0.12,MEAN,A2SJC9VRBGNC58,0,TM,2.53,150
0.36,MEAN,A2SJC9VRBGNC58,0,TM,1.913,150
0.16,MEAN,A2SJC9VRBGNC58,0,TM,2.623,300
0.19,MEAN,A2SJC9VRBGNC58,0,TM,2.56,150
0.17,MEAN,A2SJC9VRBGNC58,0,TM,2.312,300
0.13,MEAN,A2SJC9VRBGNC58,0,TM,2.935,150
0.13,MEAN,A2SJC9VRBGNC58,0,TM,3.204,150
0.11,MEAN,A2SJC9VRBGNC58,0,TM,2.396,150
0.14,MEAN,A2SJC9VRBGNC58,0,TM,1.887,300
0.06,MEAN,A2SJC9VRBGNC58,1,TM,2.042,150
0.0,MEAN,A2SJC9VRBGNC58,1,TM,2.01,150
0.0,MEAN,A2SJC9VRBGNC58,1,TM,2.11,300
0.06,MEAN,A2SJC9VRBGNC58,1,TM,2.229,300
0.06,MEAN,A2SJC9VRBGNC58,1,TM,2.405,300
0.05,MEAN,A2SJC9VRBGNC58,1,TM,3.562,150
0.06,MEAN,A2SJC9VRBGNC58,1,TM,1.748,150
0.03,MEAN,A2SJC9VRBGNC58,1,TM,4.025,300
0.36,MEAN,AMW2XLD9443OH,0,KB,10.67,75
0.09,MEAN,AMW2XLD9443OH,1,KB,4.756,75
0.2,MEAN,AMW2XLD9443OH,0,KB,5.064,75
0.04,MEAN,AMW2XLD9443OH,1,KB,6.045,75
0.5,MEAN,AMW2XLD9443OH,0,KB,6.831,75
0.21,MEAN,AMW2XLD9443OH,0,KB,6.562,75
0.45,MEAN,AMW2XLD9443OH,0,KB,7.849,75
0.24,MEAN,AMW2XLD9443OH,0,KB,9.027,75
0.2,MEAN,AMW2XLD9443OH,0,KB,9.553,75
0.25,MEAN,AMW2XLD9443OH,0,KB,4.007,75
0.2,MEAN,AMW2XLD9443OH,0,KB,6.876,75
0.06,MEAN,AMW2XLD9443OH,1,KB,3.993,75
0.13,MEAN,AMW2XLD9443OH,0,KB,2.633,75
0.4,MEAN,AMW2XLD9443OH,0,KB,3.54,75
0.19,MEAN,AMW2XLD9443OH,0,KB,4.198,75
0.06,MEAN,AMW2XLD9443OH,1,KB,2.786,75
0.16,MEAN,AMW2XLD9443OH,0,KB,10.157,75
0.0,MEAN,AMW2XLD9443OH,1,KB,5.085,75
0.22,MEAN,AMW2XLD9443OH,0,KB,3.121,75
0.06,MEAN,AMW2XLD9443OH,1,KB,3.873,75
0.02,MEAN,AMW2XLD9443OH,1,KB,4.119,75
0.28,MEAN,AMW2XLD9443OH,0,KB,3.195,75
0.48,MEAN,AMW2XLD9443OH,0,KB,4.031,75
0.28,MEAN,AMW2XLD9443OH,0,KB,3.403,75
0.33,MEAN,AMW2XLD9443OH,0,KB,3.259,75
0.23,MEAN,AMW2XLD9443OH,0,KB,3.067,75
0.03,MEAN,AMW2XLD9443OH,1,KB,3.657,75
0.02,MEAN,AMW2XLD9443OH,1,KB,3.485,75
0.3,MEAN,AMW2XLD9443OH,0,KB,3.405,75
0.33,MEAN,AMW2XLD9443OH,0,KB,3.474,75
0.04,MEAN,A2MKXI4KCRRI7Y,1,ZP,5.746,75
0.03,MEAN,A2MKXI4KCRRI7Y,1,ZP,6.347,75
0.05,MEAN,A2MKXI4KCRRI7Y,1,ZP,6.922,75
0.05,MEAN,A2MKXI4KCRRI7Y,1,ZP,5.809,75
0.0,MEAN,A2MKXI4KCRRI7Y,1,ZP,7.073,75
0.02,MEAN,A2MKXI4KCRRI7Y,1,ZP,5.181,75
0.02,MEAN,A2MKXI4KCRRI7Y,1,ZP,4.686,75
0.06,MEAN,A2MKXI4KCRRI7Y,1,ZP,5.319,75
0.04,MEAN,A2MKXI4KCRRI7Y,1,ZP,3.382,75
0.01,MEAN,A2MKXI4KCRRI7Y,1,ZP,6.35,75
0.0,MEAN,A2MKXI4KCRRI7Y,1,ZP,3.5,75
0.02,MEAN,A2MKXI4KCRRI7Y,1,ZP,2.452,75
0.04,MEAN,A2MKXI4KCRRI7Y,1,ZP,2.858,75
0.01,MEAN,A2MKXI4KCRRI7Y,1,ZP,7.482,75
0.06,MEAN,A2MKXI4KCRRI7Y,1,ZP,5.479,75
0.02,MEAN,A2MKXI4KCRRI7Y,1,ZP,4.698,75
0.01,MEAN,A2MKXI4KCRRI7Y,1,ZP,4.323,75
0.07,MEAN,A2MKXI4KCRRI7Y,1,ZP,7.71,75
0.01,MEAN,A2MKXI4KCRRI7Y,1,ZP,3.854,75
