workerId,chart,data_size,true_percentage,error,responseTime
e12f8b20d021a0a04eb49a3d9989537104df9f53,PB,300,83,2,8992
e12f8b20d021a0a04eb49a3d9989537104df9f53,PB,300,53,3,4027
e12f8b20d021a0a04eb49a3d9989537104df9f53,PB,75,83,13,10172
e12f8b20d021a0a04eb49a3d9989537104df9f53,PB,150,17,2,4625
e12f8b20d021a0a04eb49a3d9989537104df9f53,PB,75,92,3,21293
e12f8b20d021a0a04eb49a3d9989537104df9f53,PB,300,38,2,7054
e12f8b20d021a0a04eb49a3d9989537104df9f53,PB,150,77,2,4525
e12f8b20d021a0a04eb49a3d9989537104df9f53,PB,150,62,2,9115
e12f8b20d021a0a04eb49a3d9989537104df9f53,PB,150,8,2,3946
e12f8b20d021a0a04eb49a3d9989537104df9f53,PB,300,92,2,16497
e12f8b20d021a0a04eb49a3d9989537104df9f53,PB,75,8,3,6847
e12f8b20d021a0a04eb49a3d9989537104df9f53,PB,75,53,3,5760
e12f8b20d021a0a04eb49a3d9989537104df9f53,PB,150,23,2,11117
e12f8b20d021a0a04eb49a3d9989537104df9f53,PB,300,17,3,11686
e12f8b20d021a0a04eb49a3d9989537104df9f53,PB,300,77,7,14478
e12f8b20d021a0a04eb49a3d9989537104df9f53,PB,300,23,3,9550
e12f8b20d021a0a04eb49a3d9989537104df9f53,PB,150,92,3,11693
e12f8b20d021a0a04eb49a3d9989537104df9f53,PB,300,8,3,7304
e12f8b20d021a0a04eb49a3d9989537104df9f53,PB,150,38,13,17217
e12f8b20d021a0a04eb49a3d9989537104df9f53,PB,150,53,7,4169
e12f8b20d021a0a04eb49a3d9989537104df9f53,PB,75,77,7,8999
e12f8b20d021a0a04eb49a3d9989537104df9f53,PB,300,62,3,5401
734983c6702f4407e73241990f28ef91961d9f2c,TM,75,23,3,8924
734983c6702f4407e73241990f28ef91961d9f2c,TM,150,8,3,3944
734983c6702f4407e73241990f28ef91961d9f2c,TM,300,53,3,7412
734983c6702f4407e73241990f28ef91961d9f2c,TM,300,83,8,10744
734983c6702f4407e73241990f28ef91961d9f2c,TM,150,53,3,5568
734983c6702f4407e73241990f28ef91961d9f2c,TM,75,47,8,5678
734983c6702f4407e73241990f28ef91961d9f2c,TM,300,47,17,7459
734983c6702f4407e73241990f28ef91961d9f2c,TM,150,92,2,5393
734983c6702f4407e73241990f28ef91961d9f2c,TM,300,38,3,9189
734983c6702f4407e73241990f28ef91961d9f2c,TM,150,47,7,4556
734983c6702f4407e73241990f28ef91961d9f2c,TM,300,8,3,6502
734983c6702f4407e73241990f28ef91961d9f2c,TM,150,77,18,11822
734983c6702f4407e73241990f28ef91961d9f2c,TM,75,77,37,11381
734983c6702f4407e73241990f28ef91961d9f2c,TM,75,8,3,6737
734983c6702f4407e73241990f28ef91961d9f2c,TM,300,92,17,8323
734983c6702f4407e73241990f28ef91961d9f2c,TM,75,62,13,8069
734983c6702f4407e73241990f28ef91961d9f2c,TM,75,38,7,5318
734983c6702f4407e73241990f28ef91961d9f2c,TM,75,83,12,6080
734983c6702f4407e73241990f28ef91961d9f2c,TM,300,62,12,12502
734983c6702f4407e73241990f28ef91961d9f2c,TM,300,77,8,4396
734983c6702f4407e73241990f28ef91961d9f2c,TM,300,17,12,5224
734983c6702f4407e73241990f28ef91961d9f2c,TM,150,23,8,6611
734983c6702f4407e73241990f28ef91961d9f2c,TM,150,83,2,6760
734983c6702f4407e73241990f28ef91961d9f2c,TM,150,62,7,5991
734983c6702f4407e73241990f28ef91961d9f2c,TM,150,17,2,7760
734983c6702f4407e73241990f28ef91961d9f2c,TM,75,17,2,7342
734983c6702f4407e73241990f28ef91961d9f2c,TM,150,38,28,7058
734983c6702f4407e73241990f28ef91961d9f2c,TM,300,23,13,5443
734983c6702f4407e73241990f28ef91961d9f2c,TM,75,92,3,6693
